elo,team,division,conference
1683,BUF,AFC East,AFC
1642,KC,AFC West,AFC
1641,TBB,NFC South,NFC
1586,PHI,NFC East,NFC
1578,MIA,AFC East,AFC
1572,GB,NFC North,NFC
1565,BAL,AFC North,AFC
1558,LAC,AFC West,AFC
1550,LAR,NFC West,NFC
1536,DAL,NFC East,NFC
1535,SF,NFC West,NFC
1531,CLE,AFC North,AFC
1529,MIN,NFC North,NFC
1521,DEN,AFC West,AFC
1509,NE,AFC East,AFC
1504,CIN,AFC North,AFC
1495,ARI,NFC West,NFC
1492,NO,NFC South,NFC
1490,TEN,AFC South,AFC
1478,IND,AFC South,AFC
1472,PIT,AFC North,AFC
1471,WAS,NFC East,NFC
1457,LV,AFC West,AFC
1451,NYG,NFC East,NFC
1436,JAX,AFC South,AFC
1431,DET,NFC North,NFC
1417,CHI,NFC North,NFC
1417,SEA,NFC West,NFC
1387,CAR,NFC South,NFC
1364,ATL,NFC South,NFC
1358,NYJ,AFC East,AFC
1353,HOU,AFC South,AFC
